method,seed,test_fold,reported_mcc,oracle_mcc,gap,cal_method,calibrated_mcc,oracle_recovery
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,gmm,-0.23967262437229855,-0.054989355415582725
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,topk10,-0.11884521090877563,0.4589660309495095
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,topk20,-0.1558138351012429,0.30171509769203764
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,topk30,-0.173521233494345,0.22639433627066619
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,topk40,-0.1922527601291914,0.14671730990009937
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,prevalence_transfer,-0.13066688657200223,0.4086809697302632
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,otsu,-0.12576165983309104,-0.00010990779611158341
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,gmm,-0.12650760831294328,-0.0025730878485960462
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,topk10,-0.1555793514938002,-0.09857025096128548
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,topk20,-0.06791355237680687,0.19090905424872337
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,topk30,-0.1824493358222759,-0.1872970346415498
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,topk40,-0.28463846501961315,-0.5247335083635676
E8.1_ts_sage_d60,0,lycos_ids2017,-0.12572837539927523,0.17711123192047548,0.3028396073197507,prevalence_transfer,-0.11702550566931622,0.028737554532522424
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,otsu,0.24668094789840253,-0.02943011514226682
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,gmm,0.6287774041398978,0.839449062363954
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,topk10,0.6794711264793856,0.9547255038267456
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,topk20,0.5491862037802709,0.6584603733155073
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,topk30,0.3758149831379867,0.26421792187620435
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,topk40,0.29269454688171115,0.0752038258054861
E5.4_dropedge_p20_dann,0,unsw_nb15,0.2596230726422756,0.6993809424742519,0.4397578698319763,prevalence_transfer,0.6145956489115497,0.8072000539863059
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,otsu,-0.01180344359340042,0.0006304624409967649
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,gmm,-0.014374467568547851,-0.010337628094124302
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,topk10,-0.14756137272870226,-0.5785182627400492
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,topk20,0.08595429095349053,0.4176688461290164
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,topk30,0.0856417793325041,0.41633565912438725
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,topk40,0.06735315076071356,0.33831564224488775
E1.A,2,ton_iot,-0.011951229941994301,0.22245821142017558,0.23440944136216987,prevalence_transfer,0.06524701535727911,0.3293307848466723
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,otsu,0.18463428889944117,0.87087295916168
