method,seed,test_fold,n_edges,prevalence,reported_mcc,oracle_mcc,gap,auroc,auprc,pred_pos_rate_at_05,true_pos_rate_at_05,optimal_threshold,reported_threshold
E10.1_gib_b1.0,0,lycos_ids2017,1837486,0.24044972315435328,-0.10276046716470043,0.18096190361873782,0.28372237078343826,0.506382960214582,0.2243093728590277,0.04809995831260755,0.045087856261950825,0.016644423827528954,0.5
E3.A,0,cic_ids2018,8392401,0.12144355351942787,-0.00022229003279517254,0.17158071356617013,0.1718030035989653,0.6311641855304594,0.2187523327011749,3.574662364203045e-07,0.0,6.347868009015656e-09,0.5
E3.A,0,lycos_ids2017,1837486,0.24044972315435328,-0.43065068435342085,0.0,0.43065068435342085,0.18509397246779682,0.14738813414959662,0.4785445984350357,0.048333994830090106,1.000001,0.5
E3.A,0,unsw_nb15,2538252,0.1258692990294108,-0.37918000046520295,0.008558935684719358,0.38773893614992233,0.11733955025421627,0.07157880294335955,0.5925132729138005,0.021565240287563132,0.9999873638153076,0.5
E3.A,1,cic_ids2018,8392401,0.12144355351942787,-0.07984851783884861,0.0,0.07984851783884861,0.27969693780129895,0.07975830954408974,0.09098611946688438,0.039003813554882714,1.0000004039535522,0.5
E3.A,1,lycos_ids2017,1837486,0.24044972315435328,0.161697189114774,0.1634101181913991,0.0017129290766251248,0.5707603854586685,0.27941120402461583,0.41458873700262205,0.3225632415814629,0.5993280410766602,0.5
E3.A,1,unsw_nb15,2538252,0.1258692990294108,-0.24863920419941324,0.0,0.24863920419941324,0.14633717076254377,0.07199057342690776,0.40852720691247363,0.02663207788262637,1.000001,0.5
E3.A,2,cic_ids2018,8392401,0.12144355351942787,-0.36256864280055956,0.0,0.36256864280055956,0.14892947377042082,0.06874030958163359,0.566711004395524,0.01788873409242008,0.998126970363617,0.5
E3.A,2,lycos_ids2017,1837486,0.24044972315435328,-0.28901742702909217,0.0,0.28901742702909217,0.23509909349053976,0.15266968140396306,0.2620041730930195,0.03315546009899695,1.000001,0.5
E3.A,2,unsw_nb15,2538252,0.1258692990294108,-0.24834082929511497,0.0,0.24834082929511497,0.15025725920207939,0.07148648558303584,0.4523774629154237,0.03523629041809783,1.000001,0.5
E3.B,0,cic_ids2018,8392401,0.12144355351942787,-0.18120946354376885,0.0,0.18120946354376885,0.2947217733554294,0.08124090512340061,0.40763090324211154,0.050090002870504025,1.000001,0.5
E3.B,0,lycos_ids2017,1837486,0.24044972315435328,-0.32781261717439614,0.06443084261264219,0.39224345978703834,0.2561484602712616,0.16391245462883888,0.43228030036691434,0.07990341290354258,4.2288887925678864e-05,0.5
E3.B,1,lycos_ids2017,1837486,0.24044972315435328,-0.2423509065948972,0.0,0.2423509065948972,0.3295980856645017,0.17091386214177792,0.35313466333893156,0.10027431882628529,1.000001,0.5
E3.B,2,lycos_ids2017,1837486,0.24044972315435328,-0.41332463960344146,0.0296149715222827,0.44293961112572416,0.1894658858467234,0.1487681996587798,0.392419860613904,0.020659689959032876,8.249485296263348e-12,0.5
E4.1_cic_ids2018,0,lycos_ids2017,1837486,0.24044972315435328,0.08449133266620709,0.1862112818020128,0.1017199491358057,0.22941161312469738,0.21117768392025998,0.10575590780011385,0.3454470603370642,0.8871747255325317,0.5
E4.1_cic_ids2018,0,unsw_nb15,2538252,0.1258692990294108,0.2649585917321806,0.7983451337910752,0.5333865420588946,0.8584923321984538,0.7607211881157458,0.40649903949647237,0.23206502829529452,0.8506333231925964,0.5
E4.1_lycos_ids2017,0,cic_ids2018,8392401,0.12144355351942787,-0.025410265846155897,0.5549039168586631,0.580314182704819,0.8207046416243,0.2856080182439348,0.00666805601877222,0.020139025392684192,0.32230669260025024,0.5
E4.1_lycos_ids2017,0,unsw_nb15,2538252,0.1258692990294108,-0.009613264056724417,0.2134359774114597,0.2230492414681841,0.506898617358398,0.12321391840721037,0.0006413862768550956,0.0,0.3039858639240265,0.5
E4.1_ton_iot,0,cic_ids2018,8392401,0.12144355351942787,-0.20102291348225923,0.34573634888440463,0.5467592623666638,0.6277533624909714,0.23135150998712137,0.252220669627202,0.008382241157026122,0.47520291805267334,0.5
E4.1_ton_iot,0,lycos_ids2017,1837486,0.24044972315435328,0.16782542575287984,0.3351359875937133,0.16731056184083348,0.5896237178720118,0.27669042585137094,0.625894292527943,0.2958988654623363,0.8045954704284668,0.5
E4.1_ton_iot,0,unsw_nb15,2538252,0.1258692990294108,0.15177532960356668,0.27412783764930004,0.12235250804573336,0.4684608444205719,0.11307982277646568,0.6159085071143449,0.1656258335566812,0.48034390807151794,0.5
E4.1_unsw_nb15,0,cic_ids2018,8392401,0.12144355351942787,0.5820816572466035,0.6244607056615226,0.04237904841491902,0.8467612188843903,0.33058871038215,0.24980229138240653,0.45093613414353184,0.8913455605506897,0.5
E4.1_unsw_nb15,0,lycos_ids2017,1837486,0.24044972315435328,-0.24394989821777885,0.1348115781679523,0.37876147638573116,0.22889098175968803,0.15956957555812526,0.36012356012508395,0.10148219342866037,1.754801814968232e-06,0.5
E4.2_dann,0,cic_ids2018,8392401,0.12144355351942787,0.5247553903279534,0.5426507166876263,0.017895326359672947,0.8150478065190786,0.2614506843842375,0.2932987830300292,0.3875110147102496,0.562157928943634,0.5
E4.2_dann,0,lycos_ids2017,1837486,0.24044972315435328,-0.16595076343459292,0.05654809141205636,0.22249885484664927,0.28418445385148844,0.21790282662342775,0.28536707218449553,0.12821965145949904,0.06035523861646652,0.5
E4.2_dann,0,unsw_nb15,2538252,0.1258692990294108,0.8153109300269578,0.8243048853048134,0.008993955277855625,0.8146988841142458,0.7698648749869588,0.09498623462130631,0.960642723528509,0.5928394198417664,0.5
E4.3_graphstats,0,cic_ids2018,8392401,0.12144355351942787,-0.09161016328048717,0.21139491840304636,0.3030050816835335,0.6248660646989976,0.14132799602253576,0.08171249205084456,0.02112971809543808,2.7916216822632123e-06,0.5
